"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CSAJIQSE","journalArticle","2020","Miksa, Tomasz; Walk, Paul; Neish, Peter","RDA DMP Common Standard for Machine-actionable Data Management Plans","","","","10.15497/rda00039","https://zenodo.org/record/4036060","Data Management Plans are free-form text documents describing the data that is used and produced during the course of research activities. They specify where the data will be archived, which licenses and constraints apply, and to whom credit should be given, etc. The workload and bureaucracy often associated with traditional DMPs can be reduced when they become machine-actionable. The DMP Common Standards WG has developed an application profile that allows to express information from traditional DMPs in a machine-actionable way. It allows for automatic exchange, integration, and validation of information provided in DMPs. Thus, it facilitates exchange of information between systems acting on behalf of stakeholders involved in the research life cycle, such as, researchers, funders, repository managers, ICT providers, librarians, etc. This document summarises the application profile. The full specification can be found: https://github.com/RDA-DMP-Common/RDA-DMP-Common-Standard.","2020-09-16","2023-09-27 12:33:49","2024-10-29 08:38:07","2023-09-27 12:33:49","","","","","","","","","","","","","","en","","","","","zenodo.org","","","","C:\Users\lanza01\Zotero\storage\6JWNKT94\Miksa et al. - 2020 - RDA DMP Common Standard for Machine-actionable Dat.pdf","","data management plan; machine-actionable; RDA; standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T47TBPVZ","computerProgram","2023","Miksa, Tomasz; Walk, Paul; Neish, Peter","RDA DMP Common Standard for Machine-actionable Data Management Plans","","","","","https://github.com/RDA-DMP-Common/RDA-DMP-Common-Standard","Official outputs from the RDA DMP Common Standards WG","2023-08-22","2023-09-27 12:34:04","2024-10-29 08:37:47","2023-09-27 12:34:04","","","","","","","","","","","","","","","Unlicense","","","","GitHub","","DOI: 10.15497/rda00039","","","","data management plan; machine-actionable; RDA; standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Go","1.1","","","","","","","",""
"EVIIUVI5","journalArticle","2024","Anders, Ivonne; Enke, Harry; Hausen, Daniela Adele; Henzen, Christin; Jagusch, Gerald; Lanza, Giacomo; Michaelis, Olaf; Peters-von Gehlen, Karsten; Rathmann, Torsten; Rohrwild, Jürgen; Schönau, Sabine; Wedlich-Zachodin, Kerstin Vanessa; Windeck, Jürgen","The Research Data Management Organiser (RDMO) – a Strong Community Behind an Established Software for DMPs and Much More","Data Science Journal","","","10.5334/dsj-2024-028","","This practice paper provides an overview of the Research Data Management Organiser (RDMO) software for data management planning and the RDMO community. It covers the background and history of RDMO as a funded project, its current status as a consortium and an open source software and provides insights into the organisation of the vibrant RDMO community. Furthermore, we introduce RDMO from a software developer\’s perspective and outline, in detail, the current work in the different sub-working groups committed to developing DMP templates and related guidance materials.","2024-05-08","2024-03-20 14:41:54","2024-11-07 14:23:36","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\lanza01\Zotero\storage\DRZXYLQN\Anders et al. - 2024 - The Research Data Management Organiser (RDMO) &nda.pdf","","en_US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2FK78NC","journalArticle","2018","Neuroth, Heike; Engelhardt, Claudia; Klar, Jochen; Ludwig, Jens; Enke, Harry","Aktives Forschungsdatenmanagement","ABI Technik","","2191-4664","10.1515/abitech-2018-0008","https://www.degruyter.com/document/doi/10.1515/abitech-2018-0008/html","Zusammenfassung Forschungsdatenmanagement und damit einhergehend Forschungsdatenmanagementpläne nehmen national und international an Bedeutung zu. Nicht nur, dass verschiedene Förderorganisationen wie die National Science Foundation (USA), der Schweizerische Nationalfonds (SNF), die Deutsche Forschungsgemeinschaft (DFG) sowie die Europäische Kommission mit Horizon 2020 (H2020) bereits bei Projektanträgen Auskunft über den Umgang mit den nachgenutzten oder erstellten Forschungsdaten verlangen, es beschäftigen sich auch mehr und mehr Initiativen wie zum Beispiel international die Research Data Alliance oder in Deutschland die DINI/nestor-Arbeitsgruppe Forschungsdaten mit dem Thema. International setzt sich dabei mehr und mehr die Erkenntnis durch, dass es im Umgang mit Forschungsdaten nicht mit einem einmaligen Erstellen eines Forschungsdatenmanagementplans getan ist, sondern dass sich die Pläne aktiv dem Verlauf des Forschungsprozesses anpassen und für verschiedene Bedarfe zur Verfügung gestellt werden müssen. So kann es sinnvoll und notwendig sein, weitere Beteiligte wie zum Beispiel IT-Support oder übergeordnete Datenmanager beim Erstellen und Aktualisieren eines Forschungsdatenmanagementplans zu berücksichtigen. Daher muss ein Werkzeug zur Unterstützung von diesen Plänen über das bloße Ausfüllen von Vorlagen der Förderorganisation hinaus weitere Aufgaben erfüllen und so den gesamten Prozess des Forschungsdatenmanagements unterstützen. Der Research Data Management Organiser (RDMO) ist ein solches Werkzeug, das im Rahmen eines DFG-Projektes entwickelt und mit Hilfe unterschiedlicher Gruppen von Nutzenden getestet wurde. Das RDMO-Tool ist multilingual, flexibel an Community- und Organisationsanforderungen anpassbar und unterstützt verschiedene Aufgaben wie zum Beispiel unterschiedliche Export-Funktionen oder die Erledigung zeitlich gebundener Tasks. In einem DFG-Nachfolgeprojekt, das Ende 2017 gestartet ist, werden in RDMO wichtige Erweiterungen sowohl technischer Art als auch bezogen auf verschiedene Aspekte der Nachhaltigkeit vorgenommen.","2018-04-01","2024-05-13 10:12:14","2024-05-13 10:12:14","2024-05-13 10:12:14","55-64","","1","38","","","","","","","","","","de","De Gruyter expressly reserves the right to use all content for commercial text and data mining within the meaning of Section 44b of the German Copyright Act.","","","","www.degruyter.com","","Publisher: De Gruyter","","C:\Users\lanza01\Zotero\storage\E6EX7PGH\Neuroth et al. - 2018 - Aktives Forschungsdatenmanagement.pdf; C:\Users\lanza01\Zotero\storage\NP2DP763\RIS_RDMO.ris","","","active research data management; documentation of research data; research data management plan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCDK52RA","conferencePaper","2017","Engelhardt, Claudia; Enke, Harry; Klar, Jochen; Ludwig, Jens; Neuroth, Heike","Research Data Management Organiser","Proceedings of the 14th International Conference on Digital Preservation","","","","","","2017","2024-05-13 10:12:36","2024-05-28 13:08:21","","25-29","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\lanza01\Zotero\storage\UM9PTKJI\Engelhardt et al. - Research Data Management Organiser.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14th International Conference on Digital Preservation","","","","","","","","","","","","","","",""
"T4QREIZT","conferencePaper","2017","Klar, Jochen; Engelhardt, Claudia; Neuroth, Heike; Enke, Harry; Ludwig, Jens","RDMO - Research Data Management Organiser","","","","","https://ui.adsabs.harvard.edu/abs/2017EGUGA..1915760K","The Research Data Management Organiser (RDMO) is a new tool to support the structured planning and implementation of the research data management in a scientific project and, in addition, provide the scientist with a textual Data Management Plan (DMP). While DMP are in principle a great tool to optimise the data management during all stages of a research project and to serve as a roadmap for the various data management tasks, their current usage is strongly focused on the requirements of funding agencies. Existing software tools for DMP creation and editing are useful in that respect, but do not sufficiently support the full data life cycle of a project. The RDMO is meant to be a companion for data management issues during and after the whole project. Starting from a structured interview about the project and the data involved, it organizes the data management along tasks and comprises all relevant stakeholders, i.e. researchers, PIs, institutional data managers, IT departments. Adaptations to discipline-specific or institutional needs are supported. The installation of the tool into local environments and its integration into existing administrative IT infrastructure and work flows is given special consideration. The tool is multilingual (at first German and English). In my talk, I will present the different features of the software, show its current stage of development, and how RDMO can be deployed for your institution.","2017-04-01","2024-05-13 10:14:08","2024-07-30 12:50:24","2024-05-13 10:14:08","15760","","","","","","","EGU General Assembly Conference Abstracts","","","","","","","","","","","NASA ADS","","Conference Name: EGU General Assembly Conference Abstracts ADS Bibcode: 2017EGUGA..1915760K","","C:\Users\lanza01\Zotero\storage\RZ5T79M4\Klar et al. - RDMO - Research Data Management Organiser.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EGU General Assembly Conference","","","","","","","","","","","","","","",""
"5L4D588V","presentation","2023","Grossmann, Yves Vincent","Machine-actionable Software Management Plans–High Potentials or Just Gimmicks?","","","","","https://pure.mpg.de/rest/items/item_3525097/component/file_3527897/content","","2023","2024-05-28 12:50:29","2024-10-29 08:37:22","","","","","","","","","","","","","","","","","","","","","","","","","","software management plan; machine-actionable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10. RDMO Community Meeting","","","","","","","","","","","","","","","",""
"LV3R7KEC","journalArticle","2023","Matthiesen, Jan","FAIR4RS-Viewer for the catalogue “Software Management Plan for Researcher” in RDMO","","","","","","","2023","2024-05-28 12:50:05","2024-05-28 12:50:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PE79JST3","presentation","2019","Rothe, Robin; Lindstädt, Birte","RDMO4Life im Projekt EmiMin-Die Anpassung von Datenmanagementplänen an lebenswissenschaftliche Fachspezifika","","","","","https://opus4.kobv.de/opus4-bib-info/frontdoor/index/index/docId/16229","","2019","2024-05-28 12:49:49","2024-11-07 13:58:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108. Deutscher Bibliothekartag Leipzig 2019","","","","","","","","","","","","","","","",""
"VKRZSATM","presentation","2019","Neuroth, Heike; Straka, Janine; Enke, Harry; Klar, Jochen; Michaelis, Olaf; Kramer, Claudia; Wedlich-Zachodin, Kerstin Vanessa; Tristram, Frank; Ludwig, Jens","Research data management organiser","","","","","https://www.dcc.ac.uk/sites/default/files/documents/IDCC19/210_Research%20data%20management%20organiser%20(RDMO).pdf","","2019-02","2024-05-28 12:49:33","2024-09-02 12:41:22","","","","","","","","","","","","","","Melbourne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14th International Digital Curation Conference","","","","","","","","","","","","","","","",""
"XSQL62GY","presentation","2018","Hendriks, Sonja; López, Ania","FDM in der Praxis: Datenmanagementpläne mit RDMO als neues Dienstleistungsangebot in WBs?","","","","","https://opus4.kobv.de/opus4-bib-info/frontdoor/index/index/docId/3693","","2018-06-13","2024-05-28 12:49:19","2024-11-07 14:20:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107. Deutscher Bibliothekartag, Berlin 2018","","","","","","","","","","","","","","","",""
"25FXFE75","presentation","2023","Franke, Michael; Grossmann, Yves Vincent","Sustainable and FAIR Software in Research-A New RDMO Catalogue for Software Management Plans","","","","","https://pure.mpg.de/rest/items/item_3527228/component/file_3527229/content","","2023-03-15","2024-05-28 12:48:31","2024-11-07 13:37:21","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\lanza01\Zotero\storage\U79I5T5J\Franke-Grossmann_rse-munich-2023_SMP.pdf","","software management plan; RDMO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7WSFM77N","journalArticle","2021","Cardoso, João; Castro, Leyla Jael; Miksa, Tomasz","Interconnecting Systems Using Machine-Actionable Data Management Plans – Hackathon Report","Data Science Journal","","1683-1470","10.5334/dsj-2021-035","https://account.datascience.codata.org/index.php/up-j-dsj/article/view/dsj-2021-035","The common standard for machine-actionable Data Management Plans (DMPs) allows for automatic exchange, integration, and validation of information provided in DMPs. In this paper, we report on the hackathon organised by the Research Data Alliance in which a group of 89 participants from 21 countries worked collaboratively on use cases exploring the utility of the standard in different settings. The work included integration of tools and services, funder templates mapping, and development of new serialisations. This paper summarises the results achieved during the hackathon and provides pointers to further resources.","2021-11-15","2024-07-08 09:33:06","2024-07-08 09:33:06","2024-07-08 09:33:06","35-35","","","20","","","","","","","","","","en","Copyright (c) 2021 The Author(s)","","","","account.datascience.codata.org","","","","C:\Users\lanza01\Zotero\storage\PPZPKZGJ\Cardoso et al. - 2021 - Interconnecting Systems Using Machine-Actionable D.pdf","","","semantic web; community practice; Data management plans; machine-actionable data management plans; open science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUSNGEFV","journalArticle","2021","Leipold, Luca; Straka, Janine; Yahosseini, Kyanoush","Erfahrungsbericht: Auf dem Weg zum ganzheitlichen Forschungsdatenmanagement","Bausteine Forschungsdatenmanagement","","2626-7489","10.17192/bfdm.2021.3.8362","https://bausteine-fdm.de/article/view/8362","Forschungsdatenmanagement im institutionellen Kontext spielt eine immer größere Rolle. Allerdings existieren bisher nur wenige technische Plattformen für diese Aufgabe, die eine Verwaltung der Forschungsdaten anhand der FAIR-Prinzipien ermöglicht und dabei den gesamten Forschungsdatenlebenszyklus betrachten. Hier stellen wir das Projekt „Management molekularer Daten im Research Data Life Cycle“ (MaMoDaR) vor. MaMoDaR hat als Ziel, eine technische Plattform zu entwickeln, die den effizienten und nachhaltigen Umgang mit molekularen Forschungsdaten ermöglicht. Die Software unterstützt Wissenschaftler*innen darin im Research Data Management Organiser (RDMO) hinterlegte Projekte auffindbar zu machen, Forschungsdaten direkt mit diesen Projekten zu verknüpfen und in öffentlichen Repositorien nach den FAIR-Prinzipien zu veröffentlichen. Neben unseren Erfahrungen beim Entwickeln dieser Software beschreiben wir in dieser Arbeit, dass es für den Erfolg einer Plattform nicht ausreicht, eine benutzerfreundliche Softwarelösung bereitzustellen, die sich auf das Forschungsdatenmanagement fokussiert. Vielmehr ist es notwendig, Forschende auch in organisationalen Prozessen zu unterstützen. Für die Umsetzung und das Gelingen eines institutionellen Forschungsdatenmanagements muss der Mehrwert für Wissenschaftler*innen direkt erfahrbar werden.","2021","2024-07-08 09:31:52","2024-07-08 09:31:52","2024-07-08 09:31:52","27-38","","3","","","","Erfahrungsbericht","","","","","","","de","Copyright (c) 2021 Luca Leipold, Janine Straka, Kyanoush Yahosseini","","","","bausteine-fdm.de","","Number: 3","","","","","Erfahrungsbericht; Ganzheitliches Forschungsdatenmanagement; RDMO; Workshop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
